AIDS-related deaths (all ages),,,
Year,All ages estimate,Lower Estimate,Upper Estimate
1990,500,200,1100
1991,1000,500,1300
1992,1000,500,1500
1993,1000,500,1900
1994,1100,1000,2200
1995,1500,1000,2600
1996,1800,1100,3200
1997,2200,1400,3800
1998,2700,1700,4400
1999,3200,2100,5200
2000,3900,2600,5900
2001,4600,3100,6800
2002,5300,3700,7500
2003,6100,4400,8300
2004,7000,5100,9500
2005,7900,5800,10 000
2006,8600,6300,11 000
2007,8700,6400,11 000
2008,9200,6700,12 000
2009,9700,7000,13 000
2010,10 000,7300,13 000
2011,11 000,7700,14 000
2012,11 000,8200,15 000
2013,12 000,8500,16 000
2014,11 000,7800,14 000
2015,11 000,7600,14 000
2016,12 000,8100,15 000
2017,13 000,9500,17 000
