Country Name,Angola,Angola,Angola,Botswana,Botswana,Botswana,Lesotho,Lesotho,Lesotho,Malawi,Malawi,Malawi,Mozambique,Mozambique,Mozambique,Namibia,Namibia,Namibia,South Africa,South Africa,South Africa,Zimbabwe,Zimbabwe,Zimbabwe,Zambia,Zambia,Zambia,Swaziland,Swaziland,Swaziland
Country Code,AGO,AGO,AGO,BWA,BWA,BWA,LSO,LSO,LSO,MWI,MWI,MWI,MOZ,MOZ,MOZ,NAM,NAM,NAM,ZAF,ZAF,ZAF,ZWE,ZWE,ZWE,ZMB,ZMB,ZMB,SWZ,SWZ,SWZ
Series Name,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total"
Series Code,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL
1960 [YR1960],55.035,32.293,5643182,47.246,16.509,524552,42.266,19.186,851591,51.8,26.771,3618595,49.898,28.973,7388695,42.446,18.566,602544,40.222,14.815,17456855,48.164,15.601,3747369,49.994,19.758,3044846,47.6,20.2,349181
1961 [YR1961],54.773,31.813,5753024,47.129,16.171,537249,42.282,18.823,866462,52.113,26.628,3700023,49.612,28.444,7541325,42.36,18.078,617277,39.987,14.549,17920673,48.162,15.344,3870756,50.14,19.496,3140264,47.7,19.9,357459
1962 [YR1962],54.509,31.313,5866061,47.003,15.838,550840,42.303,18.519,882170,52.424,26.502,3784439,49.324,27.94,7699139,42.285,17.612,632654,39.731,14.293,18401608,48.128,15.088,3999419,50.213,19.235,3240587,47.8,19.7,365645
1963 [YR1963],54.235,30.8,5980417,46.876,15.509,565353,42.332,18.279,898647,52.726,26.387,3872118,49.049,27.463,7862072,42.226,17.166,648661,39.455,14.042,18899275,48.055,14.834,4132756,50.207,18.974,3345145,48,19.6,373904
1964 [YR1964],53.956,30.282,6093321,46.752,15.186,580799,42.368,18.097,915822,53.009,26.271,3963417,48.799,27.013,8030025,42.191,16.741,665282,39.163,13.791,19412975,47.948,14.584,4269863,50.129,18.708,3452942,48.2,19.4,382477
196+J1:S205 [YR1965],53.691,29.769,6203299,46.633,14.862,597190,42.416,17.964,933655,53.259,26.136,4058673,48.591,26.586,8203076,42.205,16.341,682551,38.869,13.536,19942303,47.818,14.339,4410212,50,18.433,3563407,48.4,19.2,391553
1966 [YR1966],53.469,29.271,6309770,46.516,14.532,614613,42.476,17.865,952206,53.464,25.963,4158124,48.44,26.177,8381455,42.294,15.97,700341,38.592,13.278,20486439,47.685,14.101,4553433,49.853,18.141,3676189,48.6,18.9,401184
1967 [YR1967],53.317,28.791,6414995,46.396,14.189,633154,42.547,17.779,971512,53.618,25.74,4262005,48.345,25.778,8565674,42.466,15.629,718685,38.343,13.019,21045785,47.57,13.87,4700041,49.717,17.833,3791887,48.8,18.6,411365
1968 [YR1968],53.25,28.334,6523791,46.268,13.829,652843,42.622,17.684,991491,53.72,25.463,4370650,48.299,25.384,8756481,42.717,15.313,737886,38.127,12.767,21622590,47.489,13.644,4851431,49.614,17.51,3912085,49,18.3,422152
1969 [YR1969],53.27,27.904,6642632,46.132,13.451,673640,42.695,17.565,1012015,53.772,25.132,4484439,48.294,24.992,8954809,43.028,15.016,758377,37.945,12.522,22219897,47.446,13.422,5009514,49.548,17.178,4038923,49.2,18,445735
1970 [YR1970],53.375,27.498,6776381,45.998,13.053,695597,42.756,17.411,1033050,53.782,24.756,4603723,48.309,24.596,9161534,43.372,14.725,780384,37.785,12.291,22839451,47.447,13.201,5175618,49.514,16.841,4173928,49.3,17.6,458611
1971 [YR1971],53.555,27.113,6927269,45.877,12.637,718639,42.799,17.213,1054453,53.764,24.349,4728703,48.322,24.19,9375144,43.715,14.424,804157,37.633,12.08,23482813,47.496,12.982,5351195,49.493,16.504,4317748,49.3,17.2,472236
1972 [YR1972],53.781,26.741,7094834,45.771,12.208,742835,42.815,16.977,1076340,53.732,23.932,4859610,48.311,23.779,9595762,44.015,14.104,829441,37.471,11.892,24148137,47.574,12.761,5535874,49.457,16.179,4469895,49.3,16.7,486560
1973 [YR1973],54.021,26.379,7277960,45.676,11.773,768512,42.796,16.705,1099235,53.695,23.521,4996940,48.26,23.372,9827580,44.238,13.76,855380,37.282,11.727,24829693,47.658,12.533,5727044,49.385,15.875,4629402,49.3,16.3,501509
1974 [YR1974],54.25,26.027,7474338,45.582,11.34,796095,42.732,16.399,1123855,53.656,23.126,5141202,48.164,22.984,10076172,44.359,13.392,880785,37.061,11.582,25519604,47.727,12.297,5920943,49.265,15.603,4794754,49.2,15.8,517024
1975 [YR1975],54.434,25.689,7682479,45.48,10.912,825840,42.617,16.058,1150635,53.611,22.749,5292808,48.027,22.641,10344494,44.356,13.012,904839,36.806,11.455,26212405,47.755,12.041,6115370,49.091,15.372,4964831,49,15.4,533202
