Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],196+J1:S205 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,55.035,54.773,54.509,54.235,53.956,53.691,53.469,53.317,53.25,53.27,53.375,53.555,53.781,54.021,54.25,54.434,54.541,54.563,54.502,54.363,54.173,53.966,53.779,53.633,53.533,53.466,53.41,53.33,53.2,53.008,52.749,52.423,52.047,51.641,51.216,50.792,50.383,49.999,49.644,49.322,49.032,48.773,48.53,48.285,48.025,47.726,47.37,46.947,46.459,45.91,45.314,44.688,44.058,43.446,42.864,42.321,41.819,..
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,32.293,31.813,31.313,30.8,30.282,29.769,29.271,28.791,28.334,27.904,27.498,27.113,26.741,26.379,26.027,25.689,25.37,25.074,24.804,24.563,24.349,24.164,24.001,23.855,23.719,23.591,23.47,23.351,23.226,23.083,22.91,22.697,22.436,22.119,21.737,21.278,20.734,20.109,19.413,18.658,17.858,17.029,16.189,15.357,14.548,13.773,13.034,12.327,11.654,11.023,10.45,9.949,9.525,9.176,8.899,8.683,8.513,..
Angola,AGO,"Population, total",SP.POP.TOTL,5643182,5753024,5866061,5980417,6093321,6203299,6309770,6414995,6523791,6642632,6776381,6927269,7094834,7277960,7474338,7682479,7900997,8130988,8376147,8641521,8929900,9244507,9582156,9931562,10277321,10609042,10921037,11218268,11513968,11827237,12171441,12553446,12968345,13403734,13841301,14268994,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193
Botswana,BWA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,47.246,47.129,47.003,46.876,46.752,46.633,46.516,46.396,46.268,46.132,45.998,45.877,45.771,45.676,45.582,45.48,45.362,45.207,44.99,44.684,44.243,43.619,42.802,41.805,40.656,39.404,38.112,36.848,35.669,34.608,33.684,32.893,32.197,31.561,30.969,30.403,29.845,29.289,28.735,28.183,27.643,27.132,26.666,26.26,25.921,25.658,25.482,25.38,25.331,25.311,25.286,25.217,25.079,24.856,24.541,24.14,23.669,..
Botswana,BWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,16.509,16.171,15.838,15.509,15.186,14.862,14.532,14.189,13.829,13.451,13.053,12.637,12.208,11.773,11.34,10.912,10.496,10.094,9.712,9.353,9.019,8.706,8.414,8.147,7.912,7.712,7.549,7.434,7.379,7.403,7.543,7.843,8.31,8.934,9.688,10.536,11.437,12.327,13.139,13.817,14.292,14.506,14.462,14.179,13.682,13.016,12.243,11.437,10.659,9.951,9.33,8.792,8.304,7.843,7.413,7.022,6.684,..
Botswana,BWA,"Population, total",SP.POP.TOTL,524552,537249,550840,565353,580799,597190,614613,633154,652843,673640,695597,718639,742835,768512,796095,825840,857855,891926,927585,964166,1001158,1038397,1075889,1113539,1151292,1189114,1226810,1264314,1301818,1339624,1377912,1416731,1455833,1494693,1532622,1569094,1604060,1637635,1669625,1699862,1728340,1754935,1779953,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661
Lesotho,LSO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,42.266,42.282,42.303,42.332,42.368,42.416,42.476,42.547,42.622,42.695,42.756,42.799,42.815,42.796,42.732,42.617,42.444,42.215,41.932,41.595,41.199,40.741,40.226,39.664,39.066,38.445,37.809,37.172,36.549,35.956,35.42,34.965,34.594,34.294,34.05,33.822,33.562,33.232,32.812,32.303,31.719,31.093,30.473,29.903,29.409,29.017,28.748,28.586,28.51,28.501,28.528,28.557,28.555,28.498,28.368,28.158,27.872,..
Lesotho,LSO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,19.186,18.823,18.519,18.279,18.097,17.964,17.865,17.779,17.684,17.565,17.411,17.213,16.977,16.705,16.399,16.058,15.681,15.276,14.853,14.421,13.993,13.584,13.2,12.844,12.519,12.205,11.876,11.521,11.146,10.778,10.464,10.262,10.219,10.362,10.699,11.241,11.988,12.884,13.856,14.836,15.727,16.435,16.911,17.132,17.092,16.82,16.373,15.843,15.308,14.812,14.383,14.026,13.713,13.425,13.16,12.919,12.702,..
Lesotho,LSO,"Population, total",SP.POP.TOTL,851591,866462,882170,898647,915822,933655,952206,971512,991491,1012015,1033050,1054453,1076340,1099235,1123855,1150635,1179723,1210799,1243352,1276663,1310118,1343690,1377346,1410439,1442212,1472192,1499861,1525460,1550262,1576022,1603938,1634517,1667121,1700362,1732257,1761359,1787273,1810453,1831298,1850527,1868699,1885955,1902312,1918097,1933728,1949543,1965662,1982287,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339
Malawi,MWI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,51.8,52.113,52.424,52.726,53.009,53.259,53.464,53.618,53.72,53.772,53.782,53.764,53.732,53.695,53.656,53.611,53.55,53.461,53.337,53.179,52.999,52.816,52.64,52.468,52.288,52.061,51.74,51.297,50.726,50.04,49.28,48.501,47.761,47.103,46.547,46.089,45.708,45.362,45.017,44.667,44.322,44.01,43.745,43.527,43.336,43.12,42.818,42.388,41.816,41.113,40.321,39.503,38.73,38.054,37.495,37.053,36.704,..
