,,,,,,
Year,All ages estimate,Lower Estimate,Upper Estimate,,,
1990,<100,<100,<100,,,
1991,<200,<200,<500,,,
1992,<500,<500,<500,,,
1993,<1000,<500,<1000,,,
1994,<1000,<1000,1300,,,
1995,1400,<1000,1900,,,
1996,2000,1400,2700,,,
1997,2800,2000,3600,,,
1998,3600,2600,4700,,,
1999,4500,3300,5700,,,
2000,5400,4200,6800,,,
2001,6300,5000,7700,,,
2002,6900,5600,8300,,,
2003,7500,6200,8700,,,
2004,7900,6700,9000,,,
2005,7900,6900,8900,,,
2006,7200,6300,7900,,,
2007,6200,5500,6800,,,
2008,5600,5000,6200,,,
2009,5100,4500,5700,,,
2010,4800,4200,5400,,,
2011,4300,3700,4800,,,
2012,3800,3200,4400,,,
2013,3700,3200,4300,,,
2014,3700,3100,4200,,,
2015,3500,3000,4000,,,
2016,3500,3100,4000,,,
2017,3500,3000,4000,,,
