Year,All ages estimate,Lower Estimate,Upper Estimate
1990,200,200,500
1991,500,200,500
1992,1000,500,1000
1993,1000,1000,1200
1994,1500,1000,1900
1995,2200,1600,2900
1996,3200,2300,4200
1997,4400,3300,5700
1998,5700,4400,7400
1999,7200,5600,9300
2000,8800,7000,11000
2001,10000,8400,13000
2002,12000,9800,14000
2003,13000,11000,16000
2004,14000,12000,17000
2005,15000,13000,17000
2006,14000,12000,16000
2007,12000,10000,13000
2008,8500,7200,9500
2009,6800,5700,7900
2010,5600,4500,6700
2011,5000,3900,6100
2012,5200,4000,6300
2013,5500,4400,6600
2014,6000,4700,7100
2015,6400,5100,7500
2016,5900,4800,7100
2017,4900,4100,5900
