Year,All ages estimate,Lower Estimate,Upper Estimate
1990,2800,2200,3600
1991,4100,3200,5300
1992,5900,4600,7700
1993,8300,6500,11000
1994,11000,8800,15000
1995,15000,12000,19000
1996,19000,15000,25000
1997,24000,19000,31000
1998,30000,23000,39000
1999,36000,28000,47000
2000,43000,33000,56000
2001,50000,39000,65000
2002,58000,45000,75000
2003,66000,51000,85000
2004,73000,57000,95000
2005,80000,62000,100000
2006,85000,66000,110000
2007,87000,68000,110000
2008,84000,66000,110000
2009,83000,65000,110000
2010,85000,67000,110000
2011,87000,68000,110000
2012,89000,69000,120000
2013,90000,70000,120000
2014,88000,68000,110000
2015,79000,62000,100000
2016,73000,57000,95000
2017,70000,55000,91000
