Year,All ages estimate,Lower Estimate,Upper Estimate
1990,500,500,500
1991,500,500,1000
1992,1000,1000,1000
1993,1100,1000,1500
1994,1500,1100,2100
1995,2100,1500,2900
1996,2900,2100,3900
1997,3700,2800,4900
1998,4700,3600,6100
1999,5800,4500,7400
2000,6900,5400,8800
2001,8000,6400,9900
2002,8900,7300,11000
2003,9800,8100,12000
2004,10000,8700,12000
2005,9500,8100,11000
2006,7900,6800,8900
2007,5800,4900,6700
2008,4000,3200,4900
2009,3600,2700,4400
2010,3400,2600,4300
2011,3000,2400,3900
2012,2600,2100,3400
2013,2500,2000,3100
2014,2500,2100,3100
2015,2700,2100,3400
2016,2700,2000,3400
2017,2700,2000,3500
