Year,All ages estimate,Lower Estimate,Upper Estimate
1990,10000,7800,13000
1991,14000,10000,18000
1992,18000,14000,24000
1993,23000,17000,30000
1994,28000,21000,37000
1995,34000,26000,44000
1996,40000,30000,52000
1997,45000,35000,60000
1998,51000,39000,67000
1999,56000,43000,73000
2000,60000,46000,79000
2001,64000,49000,84000
2002,66000,51000,87000
2003,68000,52000,89000
2004,65000,49000,85000
2005,61000,47000,80000
2006,56000,43000,74000
2007,50000,38000,66000
2008,39000,29000,51000
2009,30000,23000,40000
2010,25000,19000,33000
2011,23000,17000,30000
2012,20000,16000,27000
2013,19000,14000,25000
2014,17000,13000,23000
2015,17000,13000,22000
2016,16000,12000,21000
2017,16000,12000,21000
