Year,All ages estimate,Lower Estimate,Upper Estimate
1990,23000,17000,31000
1991,32000,23000,41000
1992,41000,30000,53000
1993,52000,38000,67000
1994,63000,47000,82000
1995,75000,55000,97000
1996,86000,64000,110000
1997,97000,72000,130000
1998,110000,79000,140000
1999,120000,85000,150000
2000,120000,90000,160000
2001,130000,93000,160000
2002,130000,94000,170000
2003,130000,94000,170000
2004,130000,93000,160000
2005,120000,88000,160000
2006,110000,83000,150000
2007,100000,74000,130000
2008,88000,65000,110000
2009,75000,55000,97000
2010,60000,44000,78000
2011,44000,33000,57000
2012,36000,27000,47000
2013,31000,23000,40000
2014,27000,20000,35000
2015,25000,19000,33000
2016,24000,18000,31000
2017,22000,16000,29000
